,RaceName,Sex,AgeGroup,CountyName,CommunicationType,CampaignType,Count
474,Asian,M,18-29,Genesee,text,lpv,70
475,Asian,M,18-29,Grand Traverse,text,lpv,1
476,Asian,M,18-29,Ingham,call,lpv,157
477,Asian,M,18-29,Ingham,mail,lpv,234
478,Asian,M,18-29,Ingham,postcards,lpv,9
479,Asian,M,18-29,Ingham,text,lpv,767
481,Asian,M,18-29,Ingham,text,scomi,43
482,Asian,M,18-29,Isabella,call,lpv,1
483,Asian,M,18-29,Isabella,mail,lpv,1
484,Asian,M,18-29,Jackson,call,lpv,1
485,Asian,M,18-29,Kalamazoo,call,lpv,69
486,Asian,M,18-29,Kalamazoo,mail,lpv,88
487,Asian,M,18-29,Kalamazoo,text,lpv,313
489,Asian,M,18-29,Kalamazoo,text,scomi,20
490,Asian,M,18-29,Kent,call,lpv,193
491,Asian,M,18-29,Kent,mail,lpv,158
492,Asian,M,18-29,Kent,text,lpv,651
493,Asian,M,18-29,Kent,text,oakland,5
495,Asian,M,18-29,Kent,text,scomi,25
496,Asian,M,18-29,Lenawee,call,lpv,3
497,Asian,M,18-29,Lenawee,mail,lpv,1
498,Asian,M,18-29,Lenawee,text,lpv,6
499,Asian,M,18-29,Livingston,call,lpv,4
500,Asian,M,18-29,Livingston,mail,lpv,1
501,Asian,M,18-29,Livingston,text,lpv,2
502,Asian,M,18-29,Macomb,call,lpv,633
503,Asian,M,18-29,Macomb,mail,lpv,1245
504,Asian,M,18-29,Macomb,postcards,lpv,10
505,Asian,M,18-29,Macomb,text,lpv,3190
506,Asian,M,18-29,Macomb,text,oakland,4
508,Asian,M,18-29,Macomb,text,scomi,327
509,Asian,M,18-29,Mecosta,text,oakland,1
510,Asian,M,18-29,Midland,call,lpv,1
511,Asian,M,18-29,Midland,text,lpv,4
512,Asian,M,18-29,Monroe,call,lpv,1
513,Asian,M,18-29,Muskegon,call,lpv,7
514,Asian,M,18-29,Muskegon,mail,lpv,1
515,Asian,M,18-29,Muskegon,text,lpv,13
516,Asian,M,18-29,Oakland,call,lpv,45
517,Asian,M,18-29,Oakland,call,oakland,185
518,Asian,M,18-29,Oakland,mail,lpv,1881
519,Asian,M,18-29,Oakland,mail,oakland,2823
520,Asian,M,18-29,Oakland,phone,oakland,217
522,Asian,M,18-29,Oakland,postcards,lpv,44
523,Asian,M,18-29,Oakland,text,lpv,1961
524,Asian,M,18-29,Oakland,text,oakland,1876
527,Asian,M,18-29,Oakland,text,scomi,63
528,Asian,M,18-29,Ottawa,call,lpv,58
529,Asian,M,18-29,Ottawa,mail,lpv,110
530,Asian,M,18-29,Ottawa,text,lpv,375
531,Asian,M,18-29,Ottawa,text,scomi,33
532,Asian,M,18-29,Saginaw,call,lpv,23
533,Asian,M,18-29,Saginaw,mail,lpv,4
534,Asian,M,18-29,Saginaw,text,lpv,61
535,Asian,M,18-29,St. Joseph,text,lpv,2
536,Asian,M,18-29,Washtenaw,call,lpv,889
537,Asian,M,18-29,Washtenaw,mail,lpv,1853
538,Asian,M,18-29,Washtenaw,mail,oakland,12
539,Asian,M,18-29,Washtenaw,postcards,lpv,13
540,Asian,M,18-29,Washtenaw,text,lpv,4237
541,Asian,M,18-29,Washtenaw,text,oakland,17
543,Asian,M,18-29,Washtenaw,text,scomi,312
544,Asian,M,18-29,Wayne,call,lpv,901
545,Asian,M,18-29,Wayne,mail,lpv,1652
546,Asian,M,18-29,Wayne,postcards,lpv,48
547,Asian,M,18-29,Wayne,text,lpv,4423
549,Asian,M,18-29,Wayne,text,scomi,484
550,Asian,M,30-44,Allegan,call,lpv,1
551,Asian,M,30-44,Allegan,text,lpv,9
552,Asian,M,30-44,Alpena,call,lpv,1
553,Asian,M,30-44,Barry,text,lpv,1
554,Asian,M,30-44,Bay,call,lpv,8
555,Asian,M,30-44,Bay,mail,lpv,8
556,Asian,M,30-44,Bay,text,lpv,25
557,Asian,M,30-44,Berrien,call,lpv,46
558,Asian,M,30-44,Berrien,mail,lpv,6
559,Asian,M,30-44,Berrien,postcards,lpv,12
560,Asian,M,30-44,Berrien,text,lpv,152
561,Asian,M,30-44,Berrien,text,scomi,9
562,Asian,M,30-44,Branch,text,lpv,4
563,Asian,M,30-44,Calhoun,call,lpv,45
564,Asian,M,30-44,Calhoun,mail,lpv,66
565,Asian,M,30-44,Calhoun,text,lpv,155
566,Asian,M,30-44,Calhoun,text,scomi,7
567,Asian,M,30-44,Charlevoix,call,lpv,3
568,Asian,M,30-44,Charlevoix,text,lpv,6
569,Asian,M,30-44,Clinton,call,lpv,24
570,Asian,M,30-44,Clinton,mail,lpv,30
571,Asian,M,30-44,Clinton,text,lpv,66
572,Asian,M,30-44,Eaton,call,lpv,31
573,Asian,M,30-44,Eaton,text,lpv,84
574,Asian,M,30-44,Genesee,call,lpv,76
