RaceName,AgeGroup,CountyName,Sex,participation,count
Caucasian,45-64,WAYNE,M,Y,70
Black,65+,BAY,F,A,53
Hispanic,18-29,INGHAM,M,P,1209
Caucasian,65+,WASHTENAW,F,P,726
Caucasian,30-44,HILLSDALE,F,P,1076
Black,18-29,GENESEE,F,A,3755
Caucasian,30-44,BERRIEN,F,A,2398
Black,30-44,MONTCALM,F,P,39
Hispanic,45-64,ISABELLA,M,P,158
Unknown,45-64,MACOMB,M,P,1798
Black,30-44,GRATIOT,F,P,77
Caucasian,18-29,PRESQUE ISLE,F,P,131
Caucasian,45-64,BERRIEN,F,E,7
Hispanic,45-64,GRATIOT,F,P,71
Hispanic,30-44,KENT,F,M,19
Hispanic,45-64,BERRIEN,F,P,314
Caucasian,18-29,KALAMAZOO,M,M,16
Caucasian,65+,MUSKEGON,F,M,8
Black,30-44,WAYNE,F,M,177
Caucasian,45-64,VAN BUREN,F,E,7
Hispanic,18-29,BERRIEN,M,P,193
Black,45-64,BARAGA,M,P,94
Caucasian,30-44,OTTAWA,F,M,32
Caucasian,30-44,KALKASKA,F,Y,1
Caucasian,30-44,IOSCO,F,M,11
Hispanic,30-44,OCEANA,M,P,52
Hispanic,30-44,BARRY,M,A,36
Black,45-64,NEWAYGO,F,P,13
Hispanic,18-29,EMMET,F,A,10
Black,30-44,MECOSTA,M,E,1
Asian,65+,LENAWEE,F,A,1
Black,45-64,GENESEE,F,Y,63
Unknown,18-29,LAPEER,M,A,1
Unknown,18-29,LEELANAU,F,P,1
Black,18-29,ROSCOMMON,M,P,1
Caucasian,65+,OTTAWA,M,Y,1
Black,30-44,JACKSON,M,M,1
Black,45-64,GRATIOT,F,A,9
Caucasian,30-44,CHIPPEWA,F,P,753
Caucasian,18-29,OTTAWA,F,P,9143
Asian,30-44,WAYNE,F,P,2619
Caucasian,65+,IOSCO,M,A,182
Caucasian,18-29,SHIAWASSEE,F,P,1551
Black,45-64,MASON,F,P,10
Black,45-64,MARQUETTE,F,P,4
Hispanic,65+,MACOMB,M,A,339
Black,30-44,ST. CLAIR,M,P,444
Black,65+,CASS,M,P,30
Caucasian,45-64,MACOMB,F,Y,23
Hispanic,65+,MONROE,M,A,14
Asian,45-64,INGHAM,F,M,1
Black,30-44,SHIAWASSEE,M,P,19
Caucasian,45-64,OTSEGO,M,Y,1
Unknown,45-64,MACOMB,U,A,1
Unknown,45-64,OAKLAND,F,Y,1
Unknown,45-64,INGHAM,M,E,9
Asian,18-29,MIDLAND,M,A,4
Unknown,30-44,MANISTEE,F,P,12
Caucasian,30-44,ST. JOSEPH,F,E,1
Native American,45-64,KALAMAZOO,F,E,1
Caucasian,65+,ST. JOSEPH,F,M,1
Hispanic,45-64,OTTAWA,M,E,9
Asian,65+,OAKLAND,F,A,12041
Caucasian,18-29,MACOMB,F,P,35772
Black,45-64,MUSKEGON,M,A,1930
Caucasian,18-29,ST. CLAIR,F,A,3446
Caucasian,45-64,LAKE,M,P,31
Unknown,30-44,GENESEE,M,P,201
Caucasian,30-44,GOGEBIC,M,A,78
Unknown,18-29,JACKSON,M,P,46
Asian,18-29,KENT,M,A,280
Caucasian,18-29,CLARE,F,A,200
Black,18-29,MUSKEGON,F,A,875
Black,65+,SAGINAW,M,P,852
